indiv,cost,phylo_dist,bloom,shannon,consval,grass_spec_frac,grass_weight_frac
2394,1149.788888,90217.88802,24.45341034,13.05047706,39.22011508,0.24,0.328287951
2395,910.4105661,88415.07303,22.23709702,8.794360468,89.53968416,0.28,0.050632954
2396,1508.290474,52745.07253,26.22064654,23.78518635,74.80551148,0.04,0.034733684
2397,2254.811654,54548.27959,28.85546809,23.66858213,69.55803328,0,0
2398,774.7129953,84761.1585,21.44236367,10.62185952,87.86795269,0.4,0.379755917
2399,1628.732656,90486.62749,25.81199607,14.83931945,36.85812713,0.2,0.202210551
2400,1398.666857,80503.33507,27.12278294,17.25198598,59.77426171,0.12,0.102867643
2401,1286.02405,78861.26457,24.83179015,19.19837394,77.19889174,0.2,0.095475364
2402,1448.859604,81657.9292,25.52750184,19.39535194,66.35341502,0.2,0.198485252
2403,1074.387626,89877.09228,23.34384054,12.20162896,48.95160556,0.24,0.25841367
2404,2290.176492,73999.17873,27.07175398,20.2262519,80.5381705,0.04,0.010557778
2405,1393.726516,78619.10551,24.73606684,17.92910729,83.0684158,0.28,0.15555125
2406,566.0852711,87152.54687,22.38551115,4.677419187,68.35851086,0.32,0.066009601
2407,2137.452981,81250.14132,23.1626353,16.85057216,86.85107068,0.28,0.120231858
2408,1789.745299,40597.03878,26.78304568,24.37837004,75.08841621,0,0
2409,751.1780978,85900.6342,21.39389642,14.09733828,70.81694888,0.32,0.253474976
2410,2108.486723,38178.01977,27.10790956,24.81347495,74.17668523,0,0
2411,1637.259558,65568.40941,26.85834063,22.19602254,73.63588976,0.08,0.013912052
2412,619.3157895,87253.13267,22.62157913,5.810327404,82.79530059,0.36,0.426358987
2413,1838.11607,45395.52016,27.53083082,24.68531307,71.63002628,0,0
2414,1087.463981,85867.85026,20.71031287,10.3725621,93.16402458,0.36,0.211136451
2415,2212.820811,85070.37188,21.53453473,15.27254035,88.35163422,0.32,0.131768677
2416,695.5194204,85752.4154,19.64326109,12.53468856,74.60501426,0.36,0.29626991
2417,1352.159689,89933.7879,24.31175203,14.88048306,50.06844682,0.2,0.191108761
2418,1576.324323,55587.14331,27.69598213,23.38976732,70.7852376,0,0
2419,2474.773757,56734.02844,28.61817763,23.95802345,72.87080426,0,0
2420,872.8413335,88323.26444,22.09440321,8.922382252,77.9407243,0.32,0.223000281
2421,1798.547001,89585.74457,26.51229465,15.73083149,37.95501606,0.2,0.187171869
2422,835.8600644,84478.76702,20.41224046,11.20691591,87.17675366,0.4,0.325325341
2423,2198.700977,66234.8895,27.36226197,22.66628624,76.32618514,0.08,0.044184326
2424,1140.816055,82584.58382,24.11099425,19.30780251,72.93783223,0.28,0.100329811
2425,1455.595668,89328.962,23.41336112,8.543831302,80.59598712,0.24,0.041545106
2426,1998.206396,49747.87549,27.97991798,24.11677408,71.19663213,0,0
2427,1645.440403,77431.09793,26.54425191,20.5093506,76.25262647,0.16,0.122532977
2428,1863.981966,76511.74245,26.52974286,20.36856903,77.29795086,0.12,0.057812078
2429,1759.385267,87264.30821,26.19874175,18.11306246,63.89594917,0.2,0.12480029
2430,883.3013079,87878.70832,22.36020265,6.975355151,86.62127976,0.28,0.071440656
2431,1193.402406,88197.56148,22.57311188,7.426285877,78.88194394,0.24,0.040567728
2432,1963.152503,66121.65184,26.71569998,21.70103563,77.81386428,0.08,0.047904781
2433,1154.768684,90552.34474,24.42821894,12.10558637,40.72766317,0.2,0.271032331
2434,2397.90225,57880.29154,28.22407239,23.33406139,76.58004078,0,0
2435,2066.205105,68664.3531,28.63933792,22.59639387,72.1746052,0.04,0.038635575
2436,1094.882694,88978.4491,23.60455437,14.34456917,51.74635556,0.2,0.254879388
2437,1699.773819,88809.95331,26.37557623,16.56923839,37.30832933,0.2,0.174673704
2438,2257.468366,54949.40445,27.74466009,23.65246492,75.8796378,0,0
2439,2348.812518,69125.06738,28.45398558,21.36759686,76.50619331,0,0
2440,1628.177342,89685.36664,24.90271823,16.32875942,52.91604207,0.2,0.223375406
